source	t0	t1	t2	t3	t4	t5
COPEB	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
ELK1	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
GATA3	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
IRF4	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
JUN	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
MAF	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
MYB	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
NFATC3	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
NFKB1	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
RELA	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
STAT3	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
USF2	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096	0.27258096
